TT	STT DM BYT	Tên thành phần của thuốc	Tên thương mại	Nồng độ, hàm lượng 	Đường dùng	Dạng bào chế	Cơ sở sản xuất	Nước sản xuất	SĐK hoặc GPNK	ĐVT	Giá mua vào (VAT)	Giá thanh toán BHYT	Ghi chú
85	171	Thục địa, Phục linh, Hoài Sơn, Sơn thù, Trạch tả, Xa tiền tử, Ngưu tất, Mẫu đơn bì, Nhục quế, Phụ tử chế.	Fitôbetin - f	700mg + 530mg + 350mg + 350mg + 265mg + 180mg + 180mg + 265mg + 90mg + 90mg.	Uống	Viên nang cứng	Công ty TNHH dược phẩm Fito Pharma	Việt  Nam	VD-25456-16	Viên	1.500	1.500	70.000
8. Nhóm thuốc chữa các bệnh về Âm, về Huyết													
86	173	Bột bèo hoa dâu.	Tobloods 250 mg	250mg.	Uống	Viên nang cứng	Công ty cổ phần dược Phẩm Trung Ương 3	Việt Nam	VD-35971-22	Viên	2.499	2.499	20.000
87	173	Bột bèo hoa dâu.	Mediphylamin	250mg. 	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	893200128200 (VD-24351-16)	Viên	1.900	1.900	50.000
88	175	Câu đằng, Thiên ma, Hoàng cầm, Đỗ trọng, Bạch phục linh, Thạch quyết minh, Ngưu tất, Ích mẫu, Tang ký sinh, Sơn chi, Dạ giao đằng, Hoa hòe.	Bảo mạch hạ huyết áp	0,6g + 0,5g + 0,3g + 0,3g + 0,3g + 0,3g + 0,3g  + 0,3g + 0,3g + 0,3g + 0,5g + 0,6g.	Uống	Viên nang cứng	Công ty Cổ phần TM Dược VTYT Khải Hà	Việt Nam	VD-24470-16	Viên	2.240	2.240	50.000
89	179	Đương quy, Xuyên khung, Thục địa, Bạch thược, Đảng sâm, Bạch linh, Bạch truật, Cam thảo.	Bát trân	120mg + 120mg + 120mg + 120mg + 120mg + 120mg + 120mg + 60mg.	Uống	Cao lỏng	Công ty Cổ phần TM Dược VTYT Khải Hà	Việt Nam	VD-32397-19	Ống	3.980	3.980	80.000
90	180	Hà thủ ô đỏ, Đảng sâm, Sơn thù, Mạch môn, Hoàng kỳ, Bạch truật, Cam thảo, Ngũ vị tử, Đương quy, Mẫu đơn bì.	XUAN	1g + 1g + 0,4g + 0,4g + 0,4g + 0,4g + 0,3g + 0,3g + 0,3g + 0,3g.	Uống	Thuốc cốm	Công ty TNHH Vạn Xuân	Việt Nam	TCT-00198-24	Gói	3.780	3.780	50.000
91	181	Hà thủ ô đỏ, Bạch thược, Đương quy, Xuyên khung, Ích mẫu, Thục địa, Hồng hoa.	Hoạt huyết thông mạch K/H	Dung tích 100ml.	Uống	Cao lỏng	Công ty CPTM Dược VTYT Khải Hà	Việt Nam	VD-21452-14	Chai	38.200	38.200	2.000
92	181	Hà thủ ô đỏ, Bạch thược, Đương quy, Xuyên khung, Ích mẫu, Thục địa, Hồng hoa.	Hoạt huyết thông mạch K/H	Dung tích 125ml.	Uống	Cao lỏng	Công ty Cổ phần TM Dược VTYT Khải Hà	Việt Nam	VD-21452-14	Chai	41.490	41.490	10.000
93	182	Hải sâm.	Haisamin	200mg.	Uống	Viên nang mềm	Nhà máy HDPHARMA EU – Công ty Cổ phần Dược Vật tư y tế Hải Dương	Việt Nam	893200194325	Viên	3.800	3.800	20.000
94	186	Ngưu tất, Nghệ, Hoa hòe, Bạch truật.	Hamov	150mg + 150mg + 150mg +300mg.	Uống	Viên nang cứng	Công ty TNHH Vạn Xuân	Việt Nam	VD-32486-19	Viên	903	903	150.000
95	188	Phòng phong, Hòe giác, Đương quy, Địa du, Chỉ xác, Hoàng cầm.	Thuốc trĩ Tomoko	500mg + 1000mg + 500mg + 500mg + 500mg + 500mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	VD-25841-16	Viên	4.548	4.548	120.000
96	189	Quy bản, Thục địa, Hoàng bá, Tri mẫu.	Superyin	1,5g + 1,5g + 0,5g + 0,5g.	Uống	Viên nang cứng	Công ty TNHH Vạn Xuân	Việt Nam	VD-29580-18	Viên	1.260	1.260	600.000
97	190	Sinh địa, Mạch môn, Thiên hoa phấn, Hoàng kỳ, Kỷ tử, Bạch linh, Ngũ vị tử, Mẫu đơn bì, Hoàng liên, Nhân sâm, Thạch cao.	Tieukhatling caps	400mg + 200mg + 200mg + 200mg + 200mg + 34mg + 30mg + 30mg + 20mg + 20mg + 100mg.	Uống	Viên nang cứng	Công ty cổ phần dược phẩm Khang Minh	Việt Nam	VD-31729-19	Viên	3.500	3.500	50.000
98	191	Tam thất.	Hansokgin tam thất	120mg.	Uống	Viên nang cứng	Công Ty Cổ phần dược Quốc tế Tùng Lộc	Việt Nam	VD-30995-18	Viên	2.700	2.700	230.000
99	192	Thổ miết trùng, Hồng hoa, Tự nhiên đồng, Long não, Hạt dưa chuột, Tục đoạn, Tam thất, Đương quy, Lạc tân phụ.	Dũ  thương linh	25mg+50mg+12,5mg+5mg+50mg+25mg+75mg+37,5mg+20mg.	Uống	Viên nang cứng	Công ty cổ phần dược trung ương Mediplantex	Việt  Nam	TCT-00157-23	Viên	3.150	3.150	100.000
9. Nhóm thuốc điều kinh, an thai													
100	199	Ích mẫu, Hương phụ, Ngải cứu.	A.T ích mẫu điều kinh	Ống 8ml.	Uống	Cao lỏng	Công ty Cổ phần Dược phẩm An Thiên	Việt Nam	VD-26745-17	Ống	4.305	4.305	5.000
10. Nhóm thuốc chữa bệnh về ngũ quan													
101	206	Liên kiều, Kim ngân hoa, Hoàng cầm, Menthol, Eucalyptol, Camphor.	Xoangspray	Dung tích 20ml.	Dùng ngoài	Dung dịch xịt mũi	Công ty cổ phần dược  Nature Việt Nam	Việt Nam	VD-20945-14	Chai	35.000	35.000	3.000
102	208	Tân di, Cảo bản, Bạch chỉ, Phòng phong, Tế tân, Xuyên khung, Thăng ma, Cam thảo.	Thông xoang tán Nam Dược	200mg + 200mg + 300mg +  200mg + 200mg + 100mg + 200mg + 100mg.	Uống	Viên nang	Công ty TNHH Nam Dược	Việt Nam	V87-H12-13	Viên	1.900	1.900	150.000
103	213	Thương nhĩ tử, Hoàng kỳ, Bạch chỉ, Phòng phong, Tân di hoa, Bạch truật, Bạc hà.	Viêm xoang Abipha Cap	300mg + 375mg + 225mg + 225mg + 225mg + 225mg + 75mg.	Uống	Viên nang cứng	Công ty Cổ phần Dược phẩm Công nghệ cao Abipha	Việt Nam	TCT-00074-22	Viên	784	784	150.000
104	214	Ké đầu ngựa, Tân di hoa, Ngũ sắc, Tế tân, Xuyên khung, Hoàng kỳ, Cát cánh, Sài hồ bắc, Bạc hà,  Hoàng cầm, Dành dành, Phục linh, Bạch chỉ.	Xoang HL	500mg + 350mg + 350mg + 100mg + 100mg + 100mg + 100mg + 100mg + 50mg + 50mg + 50mg + 50mg + 150mg.	Uống	Viên nang cứng	Công ty TNHH dược phẩm Hà Thành	Việt Nam	VD-35160-21	Viên	1.480	1.480	100.000
11. Nhóm thuốc dùng ngoài													
105	218	Dầu gừng.	PQA Dầu Gừng	3g/15ml.	Dùng ngoài	Dầu xoa	Công ty cổ phần dược phẩm PQA	Việt Nam	893200724424 (VD-32299-19)	Lọ	44.100	44.100	5.000
106	219	Địa liền, Thương truật, Đại hồi, Quế chi, Thiên niên kiện, Huyết giác, Long não.	Cồn xóa bóp Jamda new	1000mg + 600mg + 600mg + 600mg + 1000mg + 2000mg + 750mg.	Dùng ngoài	Cồn thuốc	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	TCT-00232-24	Lọ	33.500	33.500	12.000
107	216	Camphor, Methol, Tinh dầu bạc hà, Tinh dầu hương nhu, Tinh dầu quế, Tinh dầu tràm.	Cao sao vàng	 584,16mg  + 33,66mg  + 178,22mg  + 56,44mg  + 56,44mg  + 643,56mg. 	Dùng ngoài	Cao xoa	Công ty Cổ phần dược Trung Ương 3	Việt Nam	893100854324 (VD-24346-16)	Lọ	21.000	21.000	5.000
108	224	Ô đầu, Địa liền, Đại hồi, Quế nhục, Thiên niên kiện, Uy linh tiên, Mã tiền, Huyết giác, Xuyên khung, Tế tân, Methyl salicylat.	Cồn xoa bóp Jamda	500mg + 500mg + 500mg + 500mg + 500mg + 500mg + 500mg + 500mg + 500mg + 500mg + 5ml.	Dùng ngoài	Cồn xoa bóp	Công ty cổ phần công nghệ cao Traphaco	Việt Nam	893110307200 (VD-21803-14)	Lọ	18.000	18.000	2.000
